id,species_id,district_id,object_id,hochwert,rechtswert,topology,tree_type,tree_species,trunk_diameter,crown_diameter,total_height,felling_year,plant_year,geom 
2023,,,2022,3527693.24745,6073626.64758,30.99,,Quercus robur 'Fastigiata',,,,18694,,9.429465,54.791166
2327,,,2326,3526838.432,6074990.699,49.09,,Sorbus intermedia,,,,2023,,9.416302,54.803465
2283,,,2282,3527374.24,6074935.94,8.65,,Sorbus intermedia,,,,2023,,9.424629,54.802945
2293,,,2292,3527583.63,6075030.49,5.98,,Sorbus intermedia,,,,2023,,9.427894,54.803782
2356,,,2355,3526567.19,6075204.531,52.15,,Populus x berolinensis,,,,2023,,9.412104,54.805401
2703,,,2702,3528206.10531,6071956.83576,19.1,,Tilia cf. cordata,,,,2023,,9.437275,54.776137
2704,,,2703,3528210.21864,6071967.80464,18.69,,Tilia cf. cordata,,,,2023,,9.43734,54.776236
3558,,,3557,3528317.459,6072594.936,4.27,,Sorbus aucuparia,,,,2023,,9.439067,54.781863
3661,,,3660,3527974.025,6070626.349,36.59,,Sorbus intermedia,,,,2023,,9.43354,54.764199
3700,,,3699,3528883.622,6072972.658,33.22,,Aesculus hippocastanum,,,,2023,,9.447904,54.785224
4355,,,4354,3526542.74,6074309.72,48.96,,Fraxinus excelsior,,,,2023,,9.411642,54.797364
4693,,,4692,3526608.08,6073637.96,55.46,,Picea abies,,,,2023,,9.412596,54.791326
4719,,,4718,3530740.523,6076110.343,47.72,,Tilia x vulgaris,,,,2023,,9.477099,54.813299
4721,,,4720,3530741.52153,6076087.65011,47.15,,Tilia x vulgaris,,,,2023,,9.477112,54.813095
4983,,,4982,3528187.246,6072239.978,11.8,,Tilia cordata,,,,2023,,9.437009,54.778682
5458,,,5457,3525842.987,6070667.535,39.69,,Tilia x vulgaris,,,,2023,,9.400438,54.764683
5616,,,5615,3526084.68963,6069470.3058,40.42,,Sorbus aucuparia,,,,2023,,9.404085,54.753916
5622,,,5621,3529823.951,6075686.714,20.15,,Tilia x vulgaris,,,,2023,,9.462799,54.809549
5840,,,5839,3527624.75695,6076020.07874,4.37,,Betula pendula,,,,2023,,9.428628,54.812669
6049,,,6048,3527754.81078,6075716.35948,6.78,,Acer platanoides,,,,2023,,9.430622,54.809934
6091,,,6090,3527755.51358,6075655.25972,16.75,,Acer platanoides,,,,2023,,9.430627,54.809385
6296,,,6295,3528337.486,6073860.852,2.54,,Prunus cerasifera,,,,2023,,9.439502,54.793234
6385,,,6384,3527481.834,6073409.867,38.9,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.426158,54.78923
6388,,,6387,3527474.399,6073387.795,40.13,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.42604,54.789032
6389,,,6388,3527472.069,6073382.448,40.39,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.426003,54.788984
6642,,,6641,3528967.765,6072477.537,43.69,,Tilia x vulgaris,,,,2023,,9.449163,54.780771
7070,,,7069,3531558.584,6072625.331,47.63,,Prunus serrulata,,,,2023,,9.489443,54.781943
7279,,,7278,3531293.44,6072381.38,43.86,,Quercus robur,,,,2023,,9.485296,54.779768
7512,,,7511,3530420.7578,6076385.66083,45.81,,Sorbus intermedia,,,,2023,,9.472154,54.815792
7521,,,7520,3528359.94,6073825.11,2.46,,Sorbus aucuparia 'Edulis',,,,2023,,9.439848,54.792911
7903,,,7902,3528402.27227,6072097.73371,12.72,,Sorbus aucuparia,,,,2023,,9.440337,54.777392
7906,,,7905,3528419.78906,6072103.699670001,11.87,,Betula pendula,,,,2023,,9.44061,54.777445
8161,,,8160,3529422.84,6075308.93,22.8,,Fraxinus excelsior,,,,2023,,9.456523,54.806179
8169,,,8168,3528251.6,6072902.86,2.7,,Sorbus x thuringiaca,,,,2023,,9.438074,54.784633
8171,,,8170,3528247.24,6072916.52,2.69,,Sorbus x thuringiaca,,,,2023,,9.438007,54.784756
8227,,,8226,3527919.336,6071382.658,37.54,,Sorbus x thuringiaca,,,,2023,,9.432763,54.770996
8230,,,8229,3527944.797,6071377.829,37.15,,Sorbus x thuringiaca,,,,2023,,9.433158,54.770951
8598,,,8597,3526945.06806,6073616.17881,51.65,,Crataegus oxyacantha aggr.,,,,2023,,9.417833,54.791112
8602,,,8601,3526920.48651,6073599.5656,50.84,,Crataegus oxyacantha aggr.,,,,2023,,9.417449,54.790965
8793,,,8792,3527283.09075,6075564.389849999,17.59,,Populus x canadensis,,,,2023,,9.423271,54.808595
8794,,,8793,3527289.83764,6075566.21548,17.64,,Populus x canadensis,,,,2023,,9.423376,54.808611
8795,,,8794,3527290.79014,6075569.86674,17.33,,Populus x canadensis,,,,2023,,9.423391,54.808644
8796,,,8795,3527303.64892,6075570.18424,17.37,,Populus x canadensis,,,,2023,,9.423591,54.808646
8892,,,8891,3528721.47259,6074900.03912,33.74,,Fagus sylvatica,,,,2023,,9.445575,54.802547
9064,,,9063,3526496.44343,6072608.664710001,44.0,,Fraxinus excelsior,,,,2023,,9.410767,54.782086
9109,,,9108,3526416.35286,6072631.13781,44.36,,Acer saccharinum,,,,2023,,9.409524,54.782292
9468,,,9467,3528939.42362,6072789.42336,37.42,,Sorbus aucuparia,,,,2023,,9.448753,54.783575
9516,,,9515,3529710.87011,6075175.82415,37.3,,Pinus mugo,,,,2023,,9.460988,54.804966
9466,,,9465,3528987.29676,6072795.97026,36.6,,Sorbus aucuparia,,,,2023,,9.449498,54.783631
9769,,,9768,3527660.80388,6071537.56669,40.99,,Juniperus communis,,,,2023,,9.428761,54.772401
9964,,,9963,3530799.99269,6075821.443549999,48.18,,Crataegus monogyna,,,,2023,,9.477993,54.8107
9992,,,9991,3529570.92847,6073791.97428,37.3,,Acer campestre,,,,2023,,9.458671,54.792544
 10501,,,10500,3530078.0065,6072222.92854,41.31,,Aesculus hippocastanum,,,,2023,,9.466391,54.778419
 10508,,,10507,3530118.4119,6072094.72836,40.29,,Aesculus hippocastanum,,,,2023,,9.467006,54.777265
 10520,,,10519,3530237.04537,6071870.15752,43.05,,Aesculus x carnea,,,,2023,,9.468826,54.775241
 10542,,,10541,3530133.33295,6072128.27474,39.0,,Aesculus hippocastanum,,,,2023,,9.467241,54.777565
 10543,,,10542,3530127.45919,6072141.45102,39.0,,Aesculus hippocastanum,,,,2023,,9.467151,54.777684
 10621,,,10620,3530872.674,6073543.466,44.14,,Acer campestre 'Elsrijk',,,,2023,,9.478881,54.790233
 10635,,,10634,3530743.60569,6072718.72354,41.4,,Populus tremula,,,,2023,,9.476787,54.782832
 10636,,,10635,3530746.93945,6072720.54917,41.23,,Populus tremula,,,,2023,,9.476839,54.782848
 10813,,,10812,3527481.909,6073386.224,40.14,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.426156,54.789018
 10814,,,10813,3527470.673,6073368.414,41.18,,Crataegus laevigata 'Paul's Scarlet',,,,2023,,9.42598,54.788858
 10969,,,10968,3530073.741,6073749.567,40.77,,Tilia cordata,,,,2023,,9.466483,54.792133
 11171,,,11170,3527231.65169,6072086.72388,39.52,,Tilia cordata,,,,2023,,9.422144,54.777358
 11181,,,11180,3526502.50588,6074364.17522,45.47,,Ulmus glabra,,,,2023,,9.411021,54.797855
 11769,,,11768,3527734.83959,6073995.38568,19.0,,Tilia platyphyllos,,,,2023,,9.430146,54.794476
 12078,,,12077,3527518.79989,6072226.29454,35.26,,Betula pendula,,,,2023,,9.42662,54.778596
 12328,,,12327,3529519.70967,6074933.55317,43.55,,Ulmus species,,,,2023,,9.457991,54.802801
 12433,,,12432,3530191.749,6073165.87993,36.04,,Populus x berolinensis,,,,2023,,9.468257,54.786883
 12878,,,12877,3531148.10373,6076731.96279,40.09,,Populus tremula,,,,2023,,9.483505,54.818858
 12888,,,12887,3531145.43102,6076678.5892,41.8,,Populus tremula,,,,2023,,9.483458,54.818378
 13291,,,13290,3530019.58625,6074685.90344,48.21,,Baumgruppe/flächiger Bestand,,,,2023,,9.465738,54.800547
 13394,,,13393,3527070.1866,6072649.47896,51.28,,Tilia intermedia,,,,2023,,9.419688,54.782422
 13402,,,13401,3527071.83116,6072621.90105,51.41,,Aesculus hippocastanum,,,,2023,,9.419711,54.782174
 13403,,,13402,3527042.65431,6072651.04768,51.49,,Baumgruppe/flächiger Bestand,,,,2023,,9.41926,54.782437
 13446,,,13445,3526944.45086,6073605.50148,51.42,,Ulmus species,,,,2023,,9.417822,54.791017
 13396,,,13395,3527122.17981,6072596.60022,51.72,,Baumgruppe/flächiger Bestand,,,,2023,,9.420491,54.781944
 13579,,,13578,3529185.01717,6073776.339110001,22.55,,Picea abies,,,,2023,,9.45267,54.792426
 13617,,,13616,3529740.68418,6074081.4113,46.86,,Crataegus monogyna,,,,2023,,9.461339,54.795134
 13977,,,13976,3526919.73069,6074829.985249999,44.52,,Populus tremula,,,,2023,,9.417552,54.802017
 13979,,,13978,3526920.89617,6074826.01201,43.87,,Acer pseudoplatanus,,,,2023,,9.417569,54.801982
 13988,,,13987,3526947.37119,6074803.22151,41.25,,Acer pseudoplatanus,,,,2023,,9.417979,54.801775
 14024,,,14023,3526851.03044,6074762.33821,44.67,,Ulmus glabra,,,,2023,,9.416477,54.801413
 14049,,,14048,3526879.42917,6074732.12238,41.34,,Ulmus glabra,,,,2023,,9.416916,54.80114
 14473,,,14472,3530268.73663,6071861.44471,42.86,,Aesculus hippocastanum,,,,2023,,9.469317,54.77516
 14477,,,14476,3530241.11408,6071927.273169999,41.55,,Aesculus hippocastanum,,,,2023,,9.468895,54.775753
 14479,,,14478,3530221.6407,6071954.895729999,41.14,,Aesculus hippocastanum,,,,2023,,9.468595,54.776003
 14504,,,14503,3529675.89178,6072132.5324,45.6,,Baumgruppe/flächiger Bestand,,,,2023,,9.460133,54.777631
 14475,,,14474,3530255.08411,6071887.69143,42.48,,Aesculus hippocastanum,,,,2023,,9.469108,54.775397
 14476,,,14475,3530256.24827,6071917.536489999,41.28,,Aesculus hippocastanum,,,,2023,,9.469129,54.775665
