"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 20",6074377.33277,3530082.72157,"Alnus glutinosa, Schwarz-Erle","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
"B 30",6074365.8613,3530083.02981,"Baumgruppe/flächiger Bestand","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
"B 40",6074322.76059,3530081.39998,"Abies procera, Edel-Tanne","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
" 60",6074328.98052,3530049.65785,"Alnus  species, Erle","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
"B 90",6074341.42512,3530033.12708,"Baumgruppe/flächiger Bestand","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
" 100",6074329.72587,3530012.3875,"Salix alba, Silber-Weide","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
" 110",6074339.29798,3530007.06966,"Salix alba, Silber-Weide","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
"B 130",6074369.34379,3530023.28908,"Baumgruppe/flächiger Bestand","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
" 140",6074373.68182,3530043.75643,"Salix alba, Silber-Weide","Entwässerung","EX Alsterbogen/Ausgleichsfläche"
" 10",6069447.53615,3524932.61337,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Alter Husumer Weg / Ausgleichsfläche"
" 20",6069438.19334,3524959.04267,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Alter Husumer Weg / Ausgleichsfläche"
" 10",6074514.292,3531287.227,"Sorbus intermedia, Schwedische Mehlbeere","Entwässerung","EX Kauslundlücke"
" 20",6074520.179,3531293.304,"Acer campestre, Feld-Ahorn","Entwässerung","EX Kauslundlücke"
" 30",6074528.915,3531303.559,"Fraxinus excelsior, Gemeine Esche","Entwässerung","EX Kauslundlücke"
" 40",6074536.89,3531312.864,"Acer campestre, Feld-Ahorn","Entwässerung","EX Kauslundlücke"
" 50",6074546.196,3531324.258,"Fraxinus excelsior, Gemeine Esche","Entwässerung","EX Kauslundlücke"
" 60",6074565.57047,3531327.73715,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 70",6074572.60607,3531325.39137,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 80",6074578.289,3531319.7,"Pyrus  species, Birne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 110",6074606.49637,3531306.86467,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 120",6074614.17817,3531307.99435,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 130",6074586.04922,3531320.53376,"Pyrus  species, Birne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 140",6074592.71431,3531316.24099,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 150",6074605.25372,3531314.4335,"Malus domestica, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 160",6074618.58391,3531311.94822,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 170",6074619.48765,3531317.2577,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 190",6074628.64323,3531337.32425,"Prunus cf. domestica, Kultur-Pflaume","Entwässerung","EX Kauslundlücke"
" 200",6074633.57976,3531343.93776,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 210",6074634.43914,3531350.08316,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 220",6074640.39583,3531352.80869,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 230",6074640.01545,3531358.99546,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 240",6074647.08179,3531359.82771,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 250",6074654.65747,3531365.63018,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 260",6074661.39028,3531368.25632,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 270",6074671.7833,3531373.79173,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 280",6074675.74245,3531374.83906,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 300",6074682.51523,3531384.63663,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 330",6074662.25495,3531377.0538,"Prunus cf. domestica, Kultur-Pflaume","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 340",6074671.95476,3531389.14706,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 380",6074668.88885,3531394.43274,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 410",6074666.93212,3531390.34625,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 430",6074646.36558,3531389.6072,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 450",6074640.04776,3531384.36048,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 470",6074632.25299,3531374.8712,"Prunus cf. domestica, Kultur-Pflaume","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 480",6074625.5879,3531370.57843,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 490",6074620.61732,3531366.05972,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 500",6074618.01907,3531358.94276,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 510",6074611.35398,3531354.64999,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 520",6074611.46694,3531348.88864,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 530",6074604.31773,3531340.81714,"Malus sylvestris Aggregat, Hausapfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 540",6074602.9419,3531335.57838,"Malus  species, Apfel","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 550",6074597.12005,3531339.39936,"Prunus cf. domestica, Kultur-Pflaume","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 560",6074591.13277,3531339.06045,"Prunus avium, Vogel-Kirsche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 570",6074583.45096,3531341.31981,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 580",6074571.13749,3531345.16071,"Pyrus communis Aggregat, Hausbirne","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 600",6074548.31789,3531348.0215,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 610",6074541.62332,3531345.76769,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Kauslundlücke"
" 620",6074543.0713,3531335.42039,"Alnus incana, Grau-Erle","Entwässerung","EX Kauslundlücke"
" 630",6074534.7117,3531325.70517,"Alnus incana, Grau-Erle","Entwässerung","EX Kauslundlücke"
" 640",6074524.54461,3531313.95653,"Alnus incana, Grau-Erle","Entwässerung","EX Kauslundlücke"
" 650",6074514.94236,3531302.09493,"Fraxinus excelsior, Gemeine Esche","Entwässerung","EX Kauslundlücke"
" 20",6073790.9603,3531393.36468,"Acer platanoides, Spitz-Ahorn","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 30",6073786.83932,3531423.76987,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 40",6073769.21921,3531449.31902,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 60",6073760.51929,3531446.12538,"Acer platanoides, Spitz-Ahorn","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 80",6073749.94722,3531454.71518,"Acer pseudoplatanus, Berg-Ahorn","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 4230",6073663.50912,3531594.41147,"Acer pseudoplatanus, Berg-Ahorn","Grünflächen","Trögelsbyhof SBG"
" 4270",6073642.34241,3531584.93937,"Quercus robur, Stiel-Eiche","Grünflächen","Trögelsbyhof SBG"
" 4290",6073610.27484,3531568.79975,"Fagus sylvatica, Rotbuche","Grünflächen","Trögelsbyhof SBG"
" 4300",6073596.93982,3531554.51222,"Fraxinus excelsior, Gemeine Esche","Grünflächen","Trögelsbyhof SBG"
" 4330",6073589.79605,3531529.74717,"Quercus robur, Stiel-Eiche","Grünflächen","Trögelsbyhof SBG"
" 4350",6073585.24521,3531506.78129,"Quercus robur, Stiel-Eiche","Grünflächen","Trögelsbyhof SBG"
" 4390",6073581.69979,3531464.87121,"Fagus sylvatica, Rotbuche","Grünflächen","Trögelsbyhof SBG"
" 160",6073540.16088,3531424.42108,"Quercus robur, Stiel-Eiche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
" 180",6073539.2157,3531368.2028,"Fraxinus excelsior, Gemeine Esche","Extensiv und Ausgleichflächen","EX Vogelsanger Str. Ausgleichsfläche"
