Abelia chinensis,Chinesische Abelie
Abelia x grandiflora,Großblütige Abelie
Abienus festuschristus,Weihnachtsbaum
Abies alba,Weiß-Tanne
Abies balsamea,Balsam-Tanne
Abies cephalonica,Griechische Tanne
Abies cf. nordmanniana,Nordmann-Tanne
Abies concolor,Colorado-Tanne
Abies equi-trojani,Kleinasiatische Tanne
Abies grandis,Große Küstentanne
Abies holophylla,Mandschurische Tanne
Abies homolepis,Nikko-Tanne
Abies koreana,Korea-Tanne
Abies lasiocarpa,Felsen-Gebirgstanne
Abies nordmanniana,Nordmann Tanne
Abies pinsapo,Spanische Tanne
Abies procera,Edel-Tanne
Abies procera 'Glauca',Silber-Tanne
Abies spec.,Tannen-Arten
Abies veitchii,Veitchs Tanne
Abutilon megapotamicum,Schönmalve
Acacia dealbata,Silber-Akazie
Acacia karroo,Karroo-Akazie
Acacia retinodes,Immerblühende Akazie
Acer buergerianum,Dreizähniger Ahorn
Acer campestre 'Elsrijk',Kegel-Feldahorn 'Elsrijk'
Acer campestre 'Fastigiata',Säulen-Feldahorn 'Fastigiata'
Acer campestre,Feld-Ahorn
Acer campestre 'Gruppe',Feld-Ahorn
Acer campestre 'Huibers elegant',Huibers Elegant-Feld-Ahorn
Acer capillipes,Roter Schlangenhaut-Ahorn
Acer cappadocicum,Kolchischer Ahorn
Acer cappadocicum 'Rubrum',Kolchischer Blut-Ahorn
Acer carpinifolium,Hainbuchenblättriger Ahorn
Acer caudatum subsp. caudatum,Geschwänzter Ahorn
Acer cf. platanoides,Möglicherweise Spitz-Ahorn
Acer cf. trautvetteri,Möglicherweise Trautvetter-Ahorn
Acer cf. velutinum,Möglicherweise Samt-Ahorn
Acer circinatum,Weinblatt-Ahorn
Acer cissifolium,Cissusblättriger Ahorn
Acer coriaceifolium,Lederblatt-Ahorn
Acer davidii,Davids-Ahorn
Acer davidii subsp. grosserii,Grossers Ahorn
Acer ginnala,Feuerahorn
Acer griseum,Zimt-Ahorn
Acer japonicum 'Aconitifolium',Japanischer Feuer-Ahorn
Acer lobelii,Kalabrischer Ahorn
Acer macrophyllum,Oregon-Ahorn
Acer mandshuricum,Mandschurischer Ahorn
Acer miyabei,Miyabes Ahorn
Acer mono,Shantung-Ahorn
Acer monspessulanum,Französischer Ahorn
Acer negundo,Eschen-Ahorn
Acer negundo 'Variegatum',Buntblättriger Eschen-Ahorn
Acer opalus,Schneeballblättriger Ahorn
Acer opalus ssp. obtusatum,Italienischer Ahorn
Acer palmatum 'Dissectum Viridis',Japanischer Schlitzahorn
Acer palmatum,Fächer-Ahorn
Acer pensylvanicum,Amerikanischer Streifen-Ahorn
Acer platanoides cf. 'Schwedleri',Möglicherweise Schwedischer Spitz-Ahorn
Acer platanoides 'Cleveland',Spitz-Ahorn Cleveland
Acer platanoides 'Columnare',Spitzahorn 'Columnare'
Acer platanoides 'Columnaris',Säulen-Spitz-Ahorn
Acer platanoides 'Crimson King',Blut-Ahorn
Acer Platanoides 'Deborah',Deborah-Spitz-Ahorn
Acer platanoides 'Drummondii',Drummondii-Spitz-Ahorn
Acer platanoides 'Emerald Queen',Spitz-Ahorn Emerald Queen
Acer platanoides 'Eurostar',Spitzahorn 'Eurostar'
Acer platanoides 'Faassen's Black',Blut-Ahorn
Acer platanoides 'Fairview',Fairview-Spitz-Ahorn
Acer platanoides f. drummondii,Drummonds Spitz-Ahorn
Acer platanoides 'Globosum',Kugelahorn 'Globosum'
Acer platanoides 'Globosum',Kugel-Spitz-Ahorn
Acer platanoides 'Laciniatum',Schlitzblättriger Spitz-Ahorn
Acer platanoides 'Olmstedt',Spitzahorn
Acer platanoides 'palmatifidum',Geschlitzter Spitz-Ahorn
Acer platanoides 'Royal Red',Oregon-Blutahorn 'Royal Red'
Acer platanoides 'Royal Red',Royal Red-Spitz-Ahorn
Acer platanoides 'Schwedleri',Schwedischer Spitz-Ahorn
Acer platanoides 'Schwedleri',Spitzahorn 'Schwedleri'
Acer platanoides,Spitz-Ahorn
Acer pseudoplatanus 'Atropurpureum',Berg-Ahorn 'Atropurpureum'
Acer pseudoplatanus 'Atropurpureum',Rotlaubiger Berg-Ahorn
Acer pseudoplatanus,Berg-Ahorn
Acer pseudoplatanus cf. 'Purpurascens',Möglicherweise Purpur-Berg-Ahorn
Acer pseudoplatanus 'Erectum',Schmalkroniger Bergahorn 'Erectum'
Acer pseudoplatanus f. atropurpureum,Rotblättriger Berg-Ahorn
Acer pseudoplatanus 'Leopoldii',Berg-Ahorn 'Leopoldii'
Acer pseudoplatanus 'Leopoldii',Leopoldii-Berg-Ahorn
Acer pseudoplatanus 'Purpurascens',Bergahorn 'Purpurascens'
Acer pseudoplatanus 'Purpurascens',Purpur-Berg-Ahorn
Acer pycnanthum,japanischer roter Ahorn
Acer rubrum 'October Glory',Rotahorn 'October Glory'
Acer rubrum,Rot-Ahorn
Acer rubrum 'Scanlon',Rot-Ahorn 'Scanlon'
Acer rufinerve,Japanischer Rotstiel-Ahorn
Acer rufinerve,Rostnerviger Schlangenhaut-Ahorn
Acer saccharinum,Silber-Ahorn
Acer saccharinum,Silber-Ahorn
Acer saccharinum 'Wieri',Wieri-Silber-Ahorn
Acer saccharum 'Newton Sentry',Zucker-Ahorn 'Newton Sentry'
Acer saccharum,Zucker-Ahorn
Acer sempervirens,Kretischer Ahorn
Acer shirasawanum,Shirasawas Fächer-Ahorn
Acer spec.,Ahorn-Arten
Acer species,Ahorn-Art
Acer tataricum subsp. ginnala,Feuer-Ahorn
Acer tataricum,Tataren-Ahorn
Acer tegmentosum,Koreanischer Schlangenhaut-Ahorn
Acer triflorum,Dreiblütiger Ahorn
Acer truncatum,Chinesischer Spitzahorn
Acer x freemanii 'Autumn Blaze',Herbstrot-Freeman-Ahorn
Acer x freemanii,Freemans Ahorn
Acer x zoeschense Annae,Anna-Zöschen Ahorn
Acer x zoeschense,Zoescheners Ahorn
Actinidia arguta,Kleinfruchtige Kiwi
Actinidia deliciosa,Kiwi
Actinidia kolomikta,Bunter Strahlengriffel
Adonidia merrillii,Manilapalme
Aesculus arnoldiana,Rosskastanie 'Arnolds'
Aesculus carnea 'Briotii',Rotblühende Rosskastanie
Aesculus carnea,Rotblühende Rosskastanie
Aesculus flava,Gelbe Rosskastanie
Aesculus flava 'Vestiva',Gelbe Rosskastanie 'Vestiva'
Aesculus glabra,Amerikanische Rosskastanie
Aesculus glabra,Ohio-Rosskastanie
Aesculus hippocastanum 'Baumannii',Baumannii-Rosskastanie
Aesculus hippocastanum 'Baumannii',Gefülltblühende Rosskastanie
Aesculus hippocastanum f. laciniata,Schlitzblättrige Rosskastanie
Aesculus hippocastanum f. memingeri,Gold-Kastanie
Aesculus hippocastanum,Gemeine Rosskastanie
Aesculus hippocastanum,Gewöhnliche Rosskastanie
Aesculus hippocastanum 'Pyramidalis',Rosskastanie'Pyramidalis'
Aesculus indica,Indische Rosskastanie
Aesculus parviflora,Strauch-Rosskastanie
Aesculus pavia 'Discolor',Rotblühende Rosskastanie 'Discolor'
Aesculus pavia,Echte Pavie
Aesculus turbinata,Japanische Rosskastanie
Aesculus x carnea,Rotblühende Rosskastanie
Aesculus x carnea,Rote Rosskastanie
Aesculus x mutabilis 'Penduliflora',Rosskastanien-Hybrid
Aesculus x neglecta 'Erythroblastos',Carolina-Rosskastanie
Afzelia africana,Afzelia
Ailanthus altissima,Götterbaum
Akebia quinata,Fingerblättrige Akebie
Alangium platanifolium,Platanenblättrige Alangie
Albizia julibrissin,Seidenbaum
Allocasuarina luehmannii,Buloke
Alnus cf. glutinosa,Möglicherweise Schwarz-Erle
Alnus cordata,Herzblättrige Erle
Alnus glutinosa 'Laciniata',Schlitzblättrige Schwarz-Erle
Alnus glutinosa,Schwarz-Erle
Alnus incana,Grau-Erle
Alnus sinuata,Sitka-Erle
Alnus spec.,Erle-Arten
Alnus species,Erle-Arten
Alnus viridis,Grün-Erle
Alnus x spaethii,Großblättrige Erle
